keyword,intent,niche,url_count,total_sessions,avg_sessions,total_clicks,avg_ctr,potential,best_url,best_clicks
concrete basement floor ideas,room-ideas,Home Decor,1,499,499,27,5.41,3.99,floorae.com/concrete-basement-floor-ideas/,27
harry potter kids room,pop-culture,Home Decor,1,184,184,27,14.67,9.09,kidlura.com/harry-potter-kids-room/,27
engagement party ideas decorations,wedding-event,Wedding/Craft,1,290,290,27,9.31,8.36,marryza.com/engagement-party-ideas-decorations/,27
bathroom chandelier over tub,product-specific,Home Decor,1,79,79,26,32.91,17.12,elsiedecor.com/bathroom-chandelier-over-tub/,26
outdoor front entrance ideas,general,Garden/Outdoor,1,1186,1186,26,2.19,1.69,yardolio.com/outdoor-front-entrance-ideas/,26
wedding guest book,wedding-event,Wedding/Craft,1,231,231,26,11.26,9.71,marryza.com/wedding-guest-book/,26
handmade pirate decor ideas,diy-craft,Home Decor,1,196,196,26,13.27,8.32,artelierahome.com/handmade-pirate-decor-ideas/,26
vanity organization ideas,product-specific,Home Decor,1,129,129,26,20.16,11.65,organizaspace.com/vanity-organization-ideas/,26
money packing ideas for wedding,wedding-event,Wedding/Craft,1,138,138,25,18.12,14.15,eloralove.com/money-packing-ideas-for-wedding/,25
outdoor privacy screen ideas,general,Garden/Outdoor,1,177,177,25,14.12,7.98,yardolio.com/outdoor-privacy-screen-ideas/,25
craft ideas with paper,diy-craft,Wedding/Craft,1,690,690,25,3.62,3.75,diyvera.com/craft-ideas-with-paper/,25
group craft ideas for adults,diy-craft,Wedding/Craft,1,1308,1308,24,1.83,2.08,diyvera.com/group-craft-ideas-for-adults/,24
tea party brunch,wedding-event,Food/Recipe,1,115,115,24,20.87,45.28,brewnora.com/tea-party-brunch/,24
bts concert outfit for women,outfit-style,Styling,1,302,302,23,7.62,6.03,ivystyling.com/bts-concert-outfit-for-women/,23
diy backyard oasis ideas,room-ideas,Home Decor,1,297,297,23,7.74,5.23,firesidea.com/diy-backyard-oasis-ideas/,23
ikea kitchen cabinets,room-ideas,Kitchen,1,586,586,23,3.92,8.19,cozykitchenia.com/ikea-kitchen-cabinets/,23
kitchen island outlet ideas,room-ideas,Kitchen,1,154,154,23,14.94,24.7,bohozora.com/kitchen-island-outlet-ideas/,23
english cottage kitchen ideas,room-ideas,Home Decor,1,358,358,23,6.42,4.48,organizaspace.com/english-cottage-kitchen-ideas/,23
vintage suitcase decor,wedding-event,Home Decor,1,186,186,23,12.37,7.68,retrofyra.com/vintage-suitcase-decor/,23
sconces living room tv,product-specific,Home Decor,1,66,66,22,33.33,16.64,roomblr.com/sconces-living-room-tv/,22
wall curtains bedroom,product-specific,Food/Recipe,1,124,124,22,17.74,39.09,rosabake.com/wall-curtains-bedroom/,22
guest room with daybed,general,Garden/Outdoor,1,114,114,22,19.3,9.98,lodgvia.com/guest-room-with-daybed/,22
kitchen layout ideas with island floor plans,room-ideas,Home Decor,1,1087,1087,22,2.02,1.68,floorae.com/kitchen-layout-ideas-with-island-floor-plans/,22
ideas for balcony,room-ideas,Home Decor,1,249,249,22,8.84,5.79,balcivo.com/ideas-for-balcony/,22
keto crockpot recipes,food-baking,Food/Recipe,1,3006,3006,22,0.73,2.67,eatlina.com/keto-crockpot-recipes/,22
easy junk journal ideas,general,Wedding/Craft,1,147,147,22,14.97,11.84,diyvera.com/easy-junk-journal-ideas/,22
memory journal ideas,general,Wedding/Craft,1,119,119,22,18.49,14.01,diyvera.com/memory-journal-ideas/,22
buddha backyard ideas,room-ideas,Home Decor,1,131,131,22,16.79,9.73,organizaspace.com/buddha-backyard-ideas/,22
wood designs on walls home decor,tattoo,Home Decor,1,152,152,22,14.47,8.64,woodlyloom.com/wood-designs-on-walls-home-decor/,22
easter decorations vintage,wedding-event,Home Decor,1,78,78,22,28.21,14.63,retrofyra.com/easter-decorations-vintage/,22
plants for full sun,general,Garden/Outdoor,1,500,500,21,4.2,2.85,floramood.com/plants-for-full-sun/,21
mexican backyard,room-ideas,Garden/Outdoor,1,161,161,21,13.04,7.23,lawnoria.com/mexican-backyard/,21
handmade laundry basket decor,product-specific,Home Decor,1,512,512,21,4.1,3.04,artelierahome.com/handmade-laundry-basket-decor/,21
edgy office outfit,outfit-style,Styling,1,209,209,20,9.57,7.09,ivystyling.com/edgy-office-outfit/,20
freezer meals for elderly,general,Food/Recipe,1,1003,1003,20,1.99,6.28,soeasydiy.com/freezer-meals-for-elderly/,20
outfit ideas for interview for women,outfit-style,Styling,1,117,117,20,17.09,11.3,hervoguelife.com/outfit-ideas-for-interview-for-women/,20
outfit ideas for plus size women,outfit-style,Styling,1,87,87,20,22.99,14.27,hervoguelife.com/outfit-ideas-for-plus-size-women/,20
garden hose storage ideas,room-ideas,Garden/Outdoor,1,64,64,20,31.25,14.22,slowgardenlife.com/garden-hose-storage-ideas/,20
best paint for concrete around pool,diy-craft,Home Decor,1,82,82,20,24.39,12.79,homeypaint.com/best-paint-for-concrete-around-pool/,20
mini pergola ideas,general,Garden/Outdoor,1,237,237,20,8.44,5.03,yardolio.com/mini-pergola-ideas/,20
floor vase decorating ideas,product-specific,Home Decor,1,484,484,20,4.13,3.03,floorae.com/floor-vase-decorating-ideas/,20
candle business ideas,general,Food/Recipe,1,237,237,20,8.44,21.08,vinainvesting.com/candle-business-ideas/,20
backyard shed ideas,room-ideas,Garden/Outdoor,1,254,254,20,7.87,4.75,lawnoria.com/backyard-shed-ideas/,20
bariatric full liquid soup recipes,food-baking,Food/Recipe,1,432,432,20,4.63,12.83,soupyday.com/bariatric-full-liquid-soup-recipes/,20
jasmine trellis ideas,general,Garden/Outdoor,1,236,236,20,8.47,5.05,blossivio.com/jasmine-trellis-ideas/,20
cute diary decoration ideas,wedding-event,Wedding/Craft,1,312,312,20,6.41,5.83,diyvera.com/cute-diary-decoration-ideas/,20
tea organization ideas,general,Home Decor,1,128,128,20,15.63,9.02,organizaspace.com/tea-organization-ideas/,20
tall shower curtain ideas,product-specific,Home Decor,1,248,248,20,8.06,5.28,artwallia.com/tall-shower-curtain-ideas/,20
crochet bathroom decor,room-ideas,Home Decor,1,505,505,19,3.76,2.78,floriadecor.com/crochet-bathroom-decor/,19
hot wheels bedroom ideas,room-ideas,Home Decor,2,178,89,19,10.67,5.7,farmsteadra.com/hot-wheels-bedroom-ideas/,10
wedding decor ideas,wedding-event,Wedding/Craft,2,246,123,19,7.72,5.89,marryza.com/wedding-decor-ideas/,19
bathroom door ideas,room-ideas,Home Decor,1,142,142,19,13.38,7.88,solinadecor.com/bathroom-door-ideas/,19
bariatric recipes gastric bypass high protein snacks,food-baking,Food/Recipe,1,732,732,19,2.6,7.83,primejokes.com/bariatric-recipes-gastric-bypass-high-protein-snacks/,19
best automotive paint remover,diy-craft,Home Decor,1,91,91,19,20.88,11.21,homeypaint.com/best-automotive-paint-remover/,19
bridal shower ideas games,wedding-event,Wedding/Craft,2,325,163,19,5.85,4.72,marryza.com/bridal-shower-ideas-games/,13
disney princess bedroom ideas,room-ideas,Home Decor,1,130,130,18,13.85,8.01,craftboom.work/disney-princess-bedroom-ideas/,18
outfit ideas for pear shaped women,outfit-style,Styling,1,104,104,18,17.31,11.17,hervoguelife.com/outfit-ideas-for-pear-shaped-women/,18
deer resistant shade plants,general,Garden/Outdoor,1,211,211,18,8.53,4.98,floramood.com/deer-resistant-shade-plants/,18
craft ideas with buttons,diy-craft,Wedding/Craft,1,416,416,18,4.33,4.14,diyvera.com/craft-ideas-with-buttons/,18
pumpkin trellis ideas,general,Garden/Outdoor,1,262,262,18,6.87,4.17,blosmia.com/pumpkin-trellis-ideas/,18
raspberry fence ideas,general,Garden/Outdoor,1,251,251,18,7.17,4.32,blosmia.com/raspberry-fence-ideas/,18
ikea hacks storage,general,Home Decor,1,130,130,18,13.85,8.01,organizaspace.com/ikea-hacks-storage/,18
towel storage ideas,product-specific,Home Decor,1,61,61,18,29.51,14.46,organizaspace.com/towel-storage-ideas/,18
rugs with brown leather couch,product-specific,Home Decor,1,61,61,18,29.51,14.46,rugsora.com/rugs-with-brown-leather-couch/,18
bifold bathroom door ideas,room-ideas,Home Decor,1,91,91,17,18.68,10.03,celenastudio.com/bifold-bathroom-door-ideas/,17
harry potter theme decoration ideas,wedding-event,Wedding/Craft,1,144,144,17,11.81,9.3,eloralove.com/harry-potter-theme-decoration-ideas/,17
pool fence ideas,general,Garden/Outdoor,1,89,89,17,19.1,9.37,artevohome.com/pool-fence-ideas/,17
office plants no sunlight,room-ideas,Garden/Outdoor,1,209,209,17,8.13,4.74,floramood.com/office-plants-no-sunlight/,17
non toxic house plants,general,Garden/Outdoor,1,187,187,17,9.09,5.19,floramood.com/non-toxic-house-plants/,17
privacy plants in pots,general,Garden/Outdoor,1,114,114,17,14.91,7.71,floramood.com/privacy-plants-in-pots/,17
orchid trellis ideas,general,Garden/Outdoor,1,66,66,17,25.76,11.81,floramood.com/orchid-trellis-ideas/,17
tree log ideas outdoor,general,Garden/Outdoor,1,869,869,17,1.96,1.45,yardolio.com/tree-log-ideas-outdoor/,17
small yard patio ideas,room-ideas,Garden/Outdoor,1,51,51,17,33.33,14.36,patizvo.com/small-yard-patio-ideas/,17
fake fireplace,general,Home Decor,1,88,88,17,19.32,10.29,firesidea.com/fake-fireplace/,17
irish dessert recipes,food-baking,Food/Recipe,2,1458,729,17,1.17,3.52,beanwhisper.com/irish-dessert-recipes/,13
low cholesterol meal prep recipes,food-baking,Food/Recipe,1,1436,1436,17,1.18,3.92,mealssavvy.com/low-cholesterol-meal-prep-recipes/,17
creative journal ideas,general,Wedding/Craft,1,264,264,17,6.44,5.69,diyvera.com/creative-journal-ideas/,17
fairy garden ideas,room-ideas,Garden/Outdoor,1,196,196,17,8.67,4.99,moonlightyard.com/fairy-garden-ideas/,17
sweatshirt storage ideas,general,Home Decor,1,122,122,17,13.93,7.96,organizaspace.com/sweatshirt-storage-ideas/,17
high tea hapjes,general,Food/Recipe,1,331,331,17,5.14,13.62,brewnora.com/high-tea-hapjes/,17
black and wood bedroom decor,room-ideas,Home Decor,1,80,80,17,21.25,11.08,woodlyloom.com/black-and-wood-bedroom-decor/,17
lego living room,room-ideas,Home Decor,1,216,216,16,7.41,4.73,solinadecor.com/lego-living-room/,16
skin care for black women skincare,hair-beauty,Styling,1,95,95,16,16.84,10.65,hervoguelife.com/skin-care-for-black-women-skincare/,16
small backyard deck ideas,room-ideas,Garden/Outdoor,1,124,124,16,12.9,6.79,lawnoria.com/small-backyard-deck-ideas/,16
leg of lamb sauce recipes,food-baking,Food/Recipe,2,649,325,16,2.47,6.52,saucybold.com/leg-of-lamb-sauce-recipes/,12
kallax kids room,general,Home Decor,1,300,300,16,5.33,3.61,kidlura.com/kallax-kids-room/,16
small shared kids bedroom,room-ideas,Home Decor,1,90,90,16,17.78,9.52,kidlura.com/small-shared-kids-bedroom/,16
semi formal party outfits for women,outfit-style,Styling,1,71,71,16,22.54,13.36,femshades.com/semi-formal-party-outfits-for-women/,16
shelves in living room,product-specific,Home Decor,1,98,98,16,16.33,8.91,homenory.com/shelves-in-living-room/,16
french door curtain ideas,product-specific,Home Decor,1,148,148,16,10.81,6.42,cozyofficedecor.com/french-door-curtain-ideas/,16
vinyl storage ideas,general,Home Decor,1,164,164,16,9.76,5.92,organizaspace.com/vinyl-storage-ideas/,16
staggered floating shelves living room,product-specific,Home Decor,1,198,198,15,7.58,4.76,cosaroom.com/staggered-floating-shelves-living-room/,15
disney bedroom ideas for adults vintage,room-ideas,Home Decor,1,160,160,15,9.38,5.66,sleeprism.com/disney-bedroom-ideas-for-adults-vintage/,15
electric box cover up ideas outdoor,general,Garden/Outdoor,1,145,145,15,10.34,5.62,yardolio.com/electric-box-cover-up-ideas-outdoor/,15
front yard privacy ideas,general,Garden/Outdoor,1,54,54,15,27.78,12.14,yardolio.com/front-yard-privacy-ideas/,15
army shadow box ideas,general,Wedding/Craft,1,517,517,15,2.9,2.87,diyvera.com/army-shadow-box-ideas/,15
bottle craft ideas,diy-craft,Wedding/Craft,1,172,172,15,8.72,7.11,diyvera.com/bottle-craft-ideas/,15
diy garden trellis ideas,room-ideas,Garden/Outdoor,1,52,52,15,28.85,12.49,grassora.com/diy-garden-trellis-ideas/,15
farmhouse stairs,general,Home Decor,1,90,90,15,16.67,8.93,farmsteadra.com/farmhouse-stairs/,15
small patio garden ideas,room-ideas,Garden/Outdoor,1,160,160,15,9.38,5.2,yardzeno.com/small-patio-garden-ideas/,15
vintage wall decor ideas,wedding-event,Home Decor,1,219,219,15,6.85,4.39,retrofyra.com/vintage-wall-decor-ideas/,15
snoopy cake ideas,food-baking,Food/Recipe,1,74,74,14,18.92,37.28,cozyslice.com/snoopy-cake-ideas/,14
bathroom bench ideas,room-ideas,Home Decor,1,81,81,14,17.28,9.04,ivyrosedecor.com/bathroom-bench-ideas/,14
denim and diamonds party outfit ideas,outfit-style,Styling,1,170,170,14,8.24,5.87,hervoguelife.com/denim-and-diamonds-party-outfit-ideas/,14
ram 1500 mods,general,Home Decor,1,57,57,14,24.56,11.84,drivecruise.com/ram-1500-mods/,14
outdoor bike storage ideas,general,Garden/Outdoor,1,74,74,14,18.92,8.9,yardolio.com/outdoor-bike-storage-ideas/,14
garage floor ideas,room-ideas,Home Decor,1,84,84,14,16.67,8.79,floorae.com/garage-floor-ideas/,14
bathroom towel decor ideas,product-specific,Home Decor,1,207,207,14,6.76,4.28,balcivo.com/bathroom-towel-decor-ideas/,14
flower workshop ideas,general,Garden/Outdoor,1,290,290,14,4.83,2.99,blosmia.com/flower-workshop-ideas/,14
industrial hair salon decor,hair-beauty,Home Decor,1,153,153,14,9.15,5.47,betonry.com/industrial-hair-salon-decor/,14
small room clothes storage,outfit-style,Home Decor,1,107,107,14,13.08,7.27,organizaspace.com/small-room-clothes-storage/,14
wall design ideas,tattoo,Home Decor,1,238,238,14,5.88,3.82,artwallia.com/wall-design-ideas/,14
wall moulding ideas,general,Home Decor,1,93,93,14,15.05,8.12,artwallia.com/wall-moulding-ideas/,14
ikea rugs living room,room-ideas,Home Decor,1,97,97,14,14.43,7.85,rugsora.com/ikea-rugs-living-room/,14
drift wood ideas diy projects decor,diy-craft,Home Decor,1,139,139,14,10.07,5.91,woodlyloom.com/drift-wood-ideas-diy-projects-decor/,14
bedroom closet door ideas,room-ideas,Home Decor,2,320,160,13,4.06,2.45,sleeprism.com/bedroom-closet-door-ideas/,9
outdoor lighting ideas,general,Garden/Outdoor,2,144,72,13,9.03,4.22,lampenza.com/outdoor-lighting-ideas/,7
cold hardy tropical plants,general,Garden/Outdoor,1,139,139,13,9.35,5.04,floramood.com/cold-hardy-tropical-plants/,13
honey spoons for tea,general,Food/Recipe,1,114,114,13,11.4,24.69,roaffee.com/how-to-make-honey-spoons-for-tea/,13
tiny house floor plans,general,Home Decor,1,742,742,13,1.75,1.37,floorae.com/tiny-house-floor-plans/,13
concrete floor ideas,general,Home Decor,1,549,549,13,2.37,1.78,floorae.com/concrete-floor-ideas/,13
floor seating ideas,general,Home Decor,1,81,81,13,16.05,8.4,floorae.com/floor-seating-ideas/,13
cd decoration ideas,wedding-event,Wedding/Craft,1,941,941,13,1.38,1.5,diyvera.com/cd-decoration-ideas/,13
window trim ideas,general,Home Decor,1,431,431,13,3.02,2.18,curtainza.com/window-trim-ideas/,13
divider wall,general,Home Decor,1,91,91,13,14.29,7.67,artwallia.com/divider-wall/,13
bathroom tile combinations,room-ideas,Home Decor,1,688,688,12,1.74,1.35,floriadecor.com/bathroom-tile-combinations/,12
tea party outfit for women,outfit-style,Styling,1,133,133,12,9.02,6.12,stylingfox.com/tea-party-outfit-for-women/,12
grape vine trellis,general,Garden/Outdoor,1,210,210,12,5.71,3.33,slowgardenlife.com/grape-vine-trellis/,12
indian street food recipes,food-baking,Food/Recipe,1,1582,1582,12,0.76,2.56,punsfordays.com/indian-street-food-recipes/,12
gas fireplace ideas,general,Home Decor,1,64,64,12,18.75,9.29,firesidea.com/gas-fireplace-ideas/,12
low histamine dessert recipes,food-baking,Food/Recipe,1,209,209,12,5.74,14.01,toppuns.com/low-histamine-dessert-recipes/,12
outdoor fence ideas,general,Garden/Outdoor,1,68,68,12,17.65,8.15,blossivio.com/outdoor-fence-ideas/,12
tea party sandwiches recipes,food-baking,Food/Recipe,1,201,201,12,5.97,14.46,tealeafcup.com/tea-party-sandwiches-recipes/,12
outdoor patio roof ideas,room-ideas,Garden/Outdoor,1,89,89,12,13.48,6.61,softlyoutdoor.com/outdoor-patio-roof-ideas/,12
bedroom blinds ideas,room-ideas,Home Decor,1,71,71,12,16.9,8.58,hyggenza.com/bedroom-blinds-ideas/,12
front yard lighting ideas,general,Home Decor,1,71,71,12,16.9,8.58,lampenza.com/front-yard-lighting-ideas/,12
stitch birthday cake,food-baking,Food/Recipe,1,73,73,12,16.44,32.3,doughora.com/stitch-birthday-cake/,12
handmade spice rack decor,product-specific,Home Decor,1,120,120,12,10,5.69,artelierahome.com/handmade-spice-rack-decor/,12
bottle painting ideas acrylics handmade home decor,diy-craft,Home Decor,1,64,64,12,18.75,9.29,artelierahome.com/bottle-painting-ideas-acrylics-handmade-home-decor/,12
curtain tie back ideas,product-specific,Home Decor,1,106,106,12,11.32,6.28,artwallia.com/curtain-tie-back-ideas/,12
dining room rugs dark table,room-ideas,Home Decor,1,68,68,12,17.65,8.87,rugsora.com/dining-room-rugs-dark-table/,12
wood scrap projects diy home decor,diy-craft,Home Decor,1,213,213,12,5.63,3.59,woodlyloom.com/wood-scrap-projects-diy-home-decor/,12
black iron bed frame bedroom ideas,product-specific,Home Decor,1,277,277,11,3.97,2.65,craftboom.work/black-iron-bed-frame-bedroom-ideas/,11
bedroom ideas with tv,room-ideas,Home Decor,1,232,232,11,4.74,3.07,craftboom.work/bedroom-ideas-with-tv/,11
bathroom dark wood,room-ideas,Home Decor,1,69,69,11,15.94,8.04,ivyrosedecor.com/bathroom-dark-wood/,11
bathroom tile trends,room-ideas,Home Decor,1,215,215,11,5.12,3.27,solinadecor.com/2026-bathroom-tile-trends/,11
dollar tree trellis ideas,general,Garden/Outdoor,1,107,107,11,10.28,5.25,floramood.com/dollar-tree-trellis-ideas/,11
bird aviary,general,Other,1,117,117,11,9.4,33.43,avianenthusiast.com/bird-aviary/,11
dog urine odor out of wood floors,general,Home Decor,1,181,181,11,6.08,3.76,woodworkwizardry.com/how-to-get-dog-urine-odor-out-of-wood-floors/,11
fireplace art,general,Home Decor,1,50,50,11,22,10.27,firesidea.com/fireplace-art/,11
tissue box ideas,general,Wedding/Craft,1,262,262,11,4.2,3.7,diyvera.com/tissue-box-ideas/,11
illustrated journal ideas,general,Wedding/Craft,1,72,72,11,15.28,10.38,diyvera.com/illustrated-journal-ideas/,11
marvel kids bedroom,room-ideas,Home Decor,1,84,84,11,13.1,6.91,kidlura.com/marvel-kids-bedroom/,11
wood on ceiling ideas,general,Home Decor,1,264,264,11,4.17,2.76,ceiloria.com/wood-on-ceiling-ideas/,11
korean skincare products for oily skin,hair-beauty,Styling,1,65,65,11,16.92,9.83,femshades.com/korean-skincare-products-for-oily-skin/,11
wind block ideas patio,room-ideas,Garden/Outdoor,1,70,70,11,15.71,7.3,softlyoutdoor.com/wind-block-ideas-patio/,11
gift card book ideas,general,Wedding/Craft,1,67,67,11,16.42,10.97,lovorae.com/gift-card-book-ideas/,11
big flower pot ideas,product-specific,Garden/Outdoor,1,119,119,11,9.24,4.82,blosmia.com/big-flower-pot-ideas/,11
rose trellis ideas,general,Garden/Outdoor,1,72,72,11,15.28,7.15,blosmia.com/rose-trellis-ideas/,11
vintage ceramic bird decor ideas,wedding-event,Home Decor,1,128,128,11,8.59,4.96,ceramory.com/vintage-ceramic-bird-decor-ideas/,11
master room decor ideas wood bed,product-specific,Home Decor,1,118,118,11,9.32,5.29,woodlyloom.com/master-room-decor-ideas-wood-bed/,11
vintage office decor,room-ideas,Home Decor,1,71,71,11,15.49,7.86,retrofyra.com/vintage-office-decor/,11
mini bar ideas small spaces living room,room-ideas,Home Decor,1,113,113,10,8.85,4.98,cosaroom.com/mini-bar-ideas-small-spaces-living-room/,10
cookie packaging ideas,food-baking,Food/Recipe,1,143,143,10,6.99,15.86,eraflavor.com/cookie-packaging-ideas/,10
denim jumpsuit outfit black women,outfit-style,Styling,1,74,74,10,13.51,8.08,ivystyling.com/denim-jumpsuit-outfit-black-women/,10
gardening cake,food-baking,Food/Recipe,1,116,116,10,8.62,18.74,rosabake.com/gardening-cake/,10
civil engineer cake design,food-baking,Food/Recipe,1,95,95,10,10.53,21.94,rosabake.com/civil-engineer-cake-design/,10
short hair updos,hair-beauty,Styling,1,195,195,10,5.13,3.75,stylingfox.com/short-hair-updos/,10
azul marino combinacion outfit,outfit-style,Styling,1,54,54,10,18.52,10.29,stylingfox.com/azul-marino-combinacion-outfit/,10
evergreen ground cover plants,general,Garden/Outdoor,1,58,58,10,17.24,7.66,floramood.com/evergreen-ground-cover-plants/,10
outdoor address sign ideas,general,Garden/Outdoor,1,65,65,10,15.38,7.02,yardolio.com/outdoor-address-sign-ideas/,10
french patio,room-ideas,Garden/Outdoor,1,59,59,10,16.95,7.56,patizvo.com/french-patio/,10
circular flower bed ideas,product-specific,Garden/Outdoor,1,123,123,10,8.13,4.27,blossivio.com/circular-flower-bed-ideas/,10
grape trellis ideas backyards,general,Garden/Outdoor,1,77,77,10,12.99,6.17,blossivio.com/grape-trellis-ideas-backyards/,10
low light outdoor plants,general,Garden/Outdoor,1,291,291,10,3.44,2.13,moonlightyard.com/low-light-outdoor-plants/,10
garden ideas for north facing garden,room-ideas,Garden/Outdoor,1,218,218,10,4.59,2.7,moonlightyard.com/garden-ideas-for-north-facing-garden/,10
first birthday gift ideas,general,Wedding/Craft,1,174,174,10,5.75,4.7,lovorae.com/first-birthday-gift-ideas/,10
indian living room decor,room-ideas,Home Decor,1,199,199,10,5.03,3.16,homenory.com/indian-living-room-decor/,10
western bridal shower ideas,wedding-event,Wedding/Craft,1,90,90,10,11.11,7.93,marryza.com/western-bridal-shower-ideas/,10
dark brown leather couches living room decor,room-ideas,Home Decor,1,106,106,10,9.43,5.23,betonry.com/dark-brown-leather-couches-living-room-decor/,10
accent wall ideas,general,Home Decor,1,159,159,10,6.29,3.79,artwallia.com/accent-wall-ideas/,10
vintage stoves,general,Home Decor,1,90,90,10,11.11,5.95,retrofyra.com/vintage-stoves/,10
vintage french bedroom,room-ideas,Home Decor,1,74,74,10,13.51,6.92,retrofyra.com/vintage-french-bedroom/,10
bee smash cake,food-baking,Food/Recipe,1,112,112,9,8.04,17.35,cozyslice.com/bee-smash-cake/,9
bathroom shower tile ideas,room-ideas,Home Decor,1,290,290,9,3.1,2.09,elsiedecor.com/bathroom-shower-tile-ideas/,9
